"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"pt_1_eq"	56.7134468060883	0	0.613828537787457	1
"pt_1_ard"	58.6524754262923	1.93902862020402	0.2328050305763	2
"pt_2_eq"	59.562590355139	2.8491435490507	0.147694191171872	4
"pt_2_ard"	66.1967735654752	9.48332675938684	0.00535511540758442	6
"pt_3_eq"	71.8831814173513	15.169734611263	0.000311875356029038	9
"pt_3_ard"	80.0520464806341	23.3385996745458	5.24970075766881e-06	12
