"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"pt_1_eq"	55.7531501547249	0	0.654934411921755	1
"pt_1_ard"	57.6695180655896	1.91636791086464	0.25122554987774	2
"pt_2_eq"	59.9547507651211	4.20160061039614	0.0801367692807098	4
"pt_2_ard"	63.5267571482275	7.77360699350255	0.0134332314971649	6
"pt_3_eq"	71.366112111314	15.6129619565891	0.000266615993572137	9
"pt_3_ard"	80.0776142706036	24.3244641158787	3.42142905861283e-06	12
