"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"pt_1_eq"	56.4776439809298	0	0.694159508915224	1
"pt_1_ard"	58.4181637038763	1.94051972294647	0.263075723439625	2
"pt_2_eq"	63.0910939501721	6.61344996924225	0.0254312005780795	4
"pt_2_ard"	63.9002526445725	7.42260866364271	0.0169691576804323	2
"pt_3_eq"	71.6247422733184	15.1470982923886	0.000356704570945793	9
"pt_3_ard"	79.2948669908759	22.8172230099461	7.7048156929809e-06	2
