"Nomencalture"	"RImean_all"	"RImean_distal"	"RImean_lastQ"	"TPEImean_all"	"TPEImean_distal"	"TPEImean_lastQ"
"41"	"MARbecc"	30.8870335305789	26.2383679720778	34.2065712221226	57.2109947855192	57.2109947855192	33.1497663514157
"42"	"MELcerv"	41.6866173718698	37.2047092236309	75.9474478171008	71.9775616561934	71.9775616561934	85.3648202308941
"43"	"MELrufe"	45.5589679289988	40.0679431293243	71.223477352782	77.3201992736083	77.3201992736083	75.5539322215545
"44"	"MELrufe"	39.966523538404	33.5036377657813	62.1410747802604	77.0220315675327	77.0220315675327	69.4678464139668
"45"	"MELrufe"	39.6762499524434	33.1849248493054	50.5677704865765	72.5120882946557	72.5120882946557	53.9007145204772
"46"	"MESgoul"	32.5910403669034	20.7001183974945	15.1017356579729	54.2315076194865	54.2315076194865	21.5059658923226
"47"	"MICnama"	25.78924775214	18.4988455138561	26.4848278588414	54.5338984996134	54.5338984996134	26.1209297902535
"48"	"MICspce"	33.5148462769269	26.9414830738273	49.3616213852966	65.1091394165793	65.1091394165793	53.0784717030209
"49"	"MICminu"	41.5024588833182	36.1882045406685	49.768772015039	67.3608170577026	67.3608170577026	60.518260831132
"50"	"MICminu"	35.4459370406273	29.796341761237	40.5288732082993	70.0159259807088	70.0159259807088	52.4000472594797
"51"	"MILmelt"	34.6127771346356	23.5947743408564	18.3308431203457	76.4587318362989	76.4587318362989	31.8318479330913
"52"	"NIVcrem"	29.0722627529604	23.736423575249	39.2536859953166	45.910170094299	45.910170094299	40.7405569123857
"53"	"NOTalex"	26.8765606410887	18.7052889190888	24.5263541336346	49.7042677283358	49.7042677283358	32.5076659494415
"54"	"PARaspe"	43.83027576743	33.4508256845487	32.7285170615533	81.8454291770964	81.8454291770964	37.746687576602
"55"	"PARspce"	29.9924378812853	23.387905664338	39.2026303249742	53.2552655548579	53.2552655548579	40.5397206374607
"56"	"TAEdomi"	33.6367849522457	27.3476227039447	35.0941370854945	63.8982061078154	63.8982061078154	38.8532790180793
"57"	"PHLcumi"	47.2347711035537	35.6315333091698	50.7425223160554	92.3271974852451	92.3271974852451	63.7779142650327
"58"	"PHLpall"	40.3070430394502	30.1071267794739	17.2046913300694	79.9051650091609	79.9051650091609	41.7537988184206
"59"	"PITmela"	39.0083842708857	34.4513832789334	63.7006178280862	71.8036467141898	71.8036467141898	71.5019170093984
"60"	"PITmela"	38.271970711218	32.9624250971534	52.7544264765799	77.7591215068749	77.7591215068749	66.142056819819
"61"	"POGmaye"	41.1690158278463	36.1025178686003	61.4362715955252	77.651834427877	77.651834427877	69.379514829688
"62"	"ABEsevi"	39.8332428064052	34.0054127355984	48.9299797723994	72.3336264365389	72.3336264365389	59.4407409817958
"63"	"ABEsevi"	37.9389156617551	32.7646443458162	51.6849608883829	65.356002393147	65.356002393147	57.7947909259504
"64"	"POGlori"	37.1303039924049	33.1205450822577	60.3599122056609	70.5877729694806	70.5877729694806	74.7095681419059
"65"	"POGlori"	37.8340846520146	33.9306488775266	63.4275319763995	70.7119802863903	70.7119802863903	74.9695185930991
"66"	"POGlori"	38.3545482152982	34.4086619212463	57.9115614495118	67.9691638337625	67.9691638337625	70.9996422636655
"67"	"POGmacr"	33.4925987937377	30.6363214457516	53.9689853562992	62.2032602507268	62.2032602507268	68.6978609586105
